Causas (lista reducida);Sexo;Provincia de residencia;Total
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Palencia;242
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Palmas, Las;148
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Pontevedra;256
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Rioja, La;358
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Salamanca;649
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Santa Cruz de Tenerife;261
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Segovia;407
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Sevilla;883
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Soria;192
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Tarragona;562
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Teruel;216
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Toledo;1.049
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Valencia/València;1.250
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Valladolid;685
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Zamora;323
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Zaragoza;1.101
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Ceuta;41
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Melilla;35
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Extranjero;97
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Total;38.959
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Albacete;566
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Alicante/Alacant;677
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Almería;170
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Araba/Álava;290
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Asturias;1.017
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ávila;271
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Badajoz;306
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Balears, Illes;324
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Barcelona;6.931
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Bizkaia;873
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Burgos;504
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cáceres;495
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cádiz;394
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cantabria;295
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Castellón/Castelló;239
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ciudad Real;924
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Córdoba;370
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Coruña, A;354
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Cuenca;325
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Gipuzkoa;493
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Girona;577
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Granada;721
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Guadalajara;325
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Huelva;121
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Huesca;236
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Jaén;462
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;León;751
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Lleida;454
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Lugo;124
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Madrid;9.443
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Málaga;552
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Murcia;436
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Navarra;640
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ourense;199
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Palencia;220
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Palmas, Las;118
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Pontevedra;277
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Rioja, La;332
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Salamanca;584
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Santa Cruz de Tenerife;207
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Segovia;359
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Sevilla;781
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Soria;199
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Tarragona;487
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Teruel;177
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Toledo;935
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Valencia/València;1.100
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Valladolid;730
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Zamora;316
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Zaragoza;1.163
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ceuta;44
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Melilla;31
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Extranjero;40
00A Covid-19 Virus identificado;Ambos sexos;Total;60.358
00A Covid-19 Virus identificado;Ambos sexos;Albacete;753
00A Covid-19 Virus identificado;Ambos sexos;Alicante/Alacant;1.014
00A Covid-19 Virus identificado;Ambos sexos;Almería;266
00A Covid-19 Virus identificado;Ambos sexos;Araba/Álava;539
00A Covid-19 Virus identificado;Ambos sexos;Asturias;1.509
00A Covid-19 Virus identificado;Ambos sexos;Ávila;361
00A Covid-19 Virus identificado;Ambos sexos;Badajoz;447
00A Covid-19 Virus identificado;Ambos sexos;Balears, Illes;565
00A Covid-19 Virus identificado;Ambos sexos;Barcelona;10.431
00A Covid-19 Virus identificado;Ambos sexos;Bizkaia;1.449
00A Covid-19 Virus identificado;Ambos sexos;Burgos;760
00A Covid-19 Virus identificado;Ambos sexos;Cáceres;696
00A Covid-19 Virus identificado;Ambos sexos;Cádiz;640
00A Covid-19 Virus identificado;Ambos sexos;Cantabria;428
00A Covid-19 Virus identificado;Ambos sexos;Castellón/Castelló;376
00A Covid-19 Virus identificado;Ambos sexos;Ciudad Real;1.395
00A Covid-19 Virus identificado;Ambos sexos;Córdoba;579
00A Covid-19 Virus identificado;Ambos sexos;Coruña, A;621
00A Covid-19 Virus identificado;Ambos sexos;Cuenca;474
00A Covid-19 Virus identificado;Ambos sexos;Gipuzkoa;793
00A Covid-19 Virus identificado;Ambos sexos;Girona;923
00A Covid-19 Virus identificado;Ambos sexos;Granada;1.228
00A Covid-19 Virus identificado;Ambos sexos;Guadalajara;524
00A Covid-19 Virus identificado;Ambos sexos;Huelva;169
00A Covid-19 Virus identificado;Ambos sexos;Huesca;397
00A Covid-19 Virus identificado;Ambos sexos;Jaén;722
00A Covid-19 Virus identificado;Ambos sexos;León;1.091
00A Covid-19 Virus identificado;Ambos sexos;Lleida;748
00A Covid-19 Virus identificado;Ambos sexos;Lugo;163
00A Covid-19 Virus identificado;Ambos sexos;Madrid;14.659
00A Covid-19 Virus identificado;Ambos sexos;Málaga;841
00A Covid-19 Virus identificado;Ambos sexos;Murcia;746
00A Covid-19 Virus identificado;Ambos sexos;Navarra;1.002
00A Covid-19 Virus identificado;Ambos sexos;Ourense;328
00A Covid-19 Virus identificado;Ambos sexos;Palencia;339
00A Covid-19 Virus identificado;Ambos sexos;Palmas, Las;135
00A Covid-19 Virus identificado;Ambos sexos;Pontevedra;400
00A Covid-19 Virus identificado;Ambos sexos;Rioja, La;571
00A Covid-19 Virus identificado;Ambos sexos;Salamanca;855
00A Covid-19 Virus identificado;Ambos sexos;Santa Cruz de Tenerife;261
00A Covid-19 Virus identificado;Ambos sexos;Segovia;438
00A Covid-19 Virus identificado;Ambos sexos;Sevilla;1.370
00A Covid-19 Virus identificado;Ambos sexos;Soria;289
00A Covid-19 Virus identificado;Ambos sexos;Tarragona;796
00A Covid-19 Virus identificado;Ambos sexos;Teruel;323
00A Covid-19 Virus identificado;Ambos sexos;Toledo;1.506
00A Covid-19 Virus identificado;Ambos sexos;Valencia/València;1.748
00A Covid-19 Virus identificado;Ambos sexos;Valladolid;1.094
00A Covid-19 Virus identificado;Ambos sexos;Zamora;488
00A Covid-19 Virus identificado;Ambos sexos;Zaragoza;1.907
00A Covid-19 Virus identificado;Ambos sexos;Ceuta;59
00A Covid-19 Virus identificado;Ambos sexos;Melilla;47
00A Covid-19 Virus identificado;Ambos sexos;Extranjero;95
00A Covid-19 Virus identificado;Hombres;Total;32.498
00A Covid-19 Virus identificado;Hombres;Albacete;416
00A Covid-19 Virus identificado;Hombres;Alicante/Alacant;599
00A Covid-19 Virus identificado;Hombres;Almería;151
00A Covid-19 Virus identificado;Hombres;Araba/Álava;294
00A Covid-19 Virus identificado;Hombres;Asturias;727
00A Covid-19 Virus identificado;Hombres;Ávila;192
00A Covid-19 Virus identificado;Hombres;Badajoz;227
00A Covid-19 Virus identificado;Hombres;Balears, Illes;313
00A Covid-19 Virus identificado;Hombres;Barcelona;5.382
00A Covid-19 Virus identificado;Hombres;Bizkaia;752
00A Covid-19 Virus identificado;Hombres;Burgos;388
00A Covid-19 Virus identificado;Hombres;Cáceres;351
00A Covid-19 Virus identificado;Hombres;Cádiz;374
00A Covid-19 Virus identificado;Hombres;Cantabria;215
00A Covid-19 Virus identificado;Hombres;Castellón/Castelló;218
00A Covid-19 Virus identificado;Hombres;Ciudad Real;745
00A Covid-19 Virus identificado;Hombres;Córdoba;305
00A Covid-19 Virus identificado;Hombres;Coruña, A;360
